iter	Passed	Remaining
0	43	4325
1	149	7342
2	211	6835
3	254	6112
4	331	6296
5	379	5952
6	422	5619
7	463	5327
8	503	5092
9	547	4931
10	587	4750
11	640	4695
12	654	4378
13	699	4296
14	748	4240
15	793	4166
16	871	4253
17	932	4250
18	974	4155
19	996	3984
20	1027	3865
21	1118	3965
22	1218	4080
23	1262	3999
24	1311	3933
25	1385	3942
26	1431	3869
27	1478	3801
28	1529	3743
29	1573	3670
30	1635	3640
31	1681	3572
32	1734	3521
33	1796	3487
34	1860	3454
35	1904	3386
36	1967	3350
37	2027	3307
38	2067	3233
39	2138	3208
40	2178	3134
41	2217	3061
42	2258	2994
43	2309	2939
44	2347	2869
45	2413	2833
46	2454	2768
47	2494	2702
48	2537	2640
49	2594	2594
50	2629	2526
51	2678	2472
52	2718	2410
53	2794	2380
54	2836	2320
55	2885	2266
56	2935	2214
57	2984	2161
58	3028	2104
59	3071	2047
60	3128	1999
61	3170	1943
62	3215	1888
63	3258	1832
64	3316	1786
65	3360	1731
66	3401	1675
67	3485	1640
68	3529	1585
69	3595	1540
70	3634	1484
71	3672	1428
72	3709	1372
73	3751	1318
74	3791	1263
75	3833	1210
76	3893	1163
77	3941	1111
78	3983	1058
79	4060	1015
80	4122	967
81	4184	918
82	4222	864
83	4263	812
84	4301	759
85	4357	709
86	4397	657
87	4437	605
88	4488	554
89	4535	503
90	4574	452
91	4654	404
92	4716	355
93	4766	304
94	4838	254
95	4915	204
96	4978	153
97	5041	102
98	5090	51
99	5124	0
