iter	Logloss
0	0.6406793096
1	0.6000177596
2	0.5677527423
3	0.5422104768
4	0.5230888001
5	0.5071937924
6	0.4951054881
7	0.4814937924
8	0.4700200683
9	0.4607293786
10	0.4531994287
11	0.4461135847
12	0.4413627533
13	0.4366150671
14	0.4319057373
15	0.4274239026
16	0.4239771434
17	0.4220484172
18	0.4197171503
19	0.4175353562
20	0.4151656551
21	0.4134368492
22	0.4125923728
23	0.4117333999
24	0.4104579805
25	0.409324454
26	0.4080383728
27	0.4066713425
28	0.4053887032
29	0.4046124242
30	0.4037862911
31	0.4029582994
32	0.4020336395
33	0.4011383148
34	0.4002092877
35	0.3995035414
36	0.3986173704
37	0.3976855478
38	0.3975590199
39	0.3972895338
40	0.3972683956
41	0.3970230471
42	0.3958581644
43	0.3953100897
44	0.3946511462
45	0.3933557571
46	0.3928124151
47	0.392697842
48	0.3919641612
49	0.3915860441
50	0.3915715222
51	0.3911436032
52	0.3906963724
53	0.3906962738
54	0.3900834246
55	0.3896528631
56	0.389377572
57	0.3892510459
58	0.3884965247
59	0.3884205269
60	0.3880668645
61	0.3875030569
62	0.3866482757
63	0.3864553839
64	0.3863340428
65	0.3862749303
66	0.3862572441
67	0.3858345432
68	0.385395651
69	0.3850163777
70	0.3848863581
71	0.3847250014
72	0.3842778284
73	0.3837286717
74	0.3835201125
75	0.3830190556
76	0.3821382196
77	0.3812525846
78	0.3808078597
79	0.3805701581
80	0.3804903898
81	0.3804204129
82	0.3798527533
83	0.3791926891
84	0.3786183966
85	0.3784334678
86	0.3784162741
87	0.3783972887
88	0.3778660404
89	0.377843913
90	0.3777537648
91	0.3773374765
92	0.3769641007
93	0.3769107554
94	0.3768227974
95	0.3765889986
96	0.3765701752
97	0.3764313776
98	0.3760804559
99	0.3759996668
