iter	Logloss
0	0.6349186907
1	0.5912550507
2	0.5575493892
3	0.5316921245
4	0.5127129971
5	0.4968664026
6	0.4822844936
7	0.4714207187
8	0.4615857682
9	0.4538651314
10	0.4455842349
11	0.4402213468
12	0.4363668861
13	0.4326232345
14	0.4294751527
15	0.4257178905
16	0.4213815143
17	0.4180463982
18	0.413825897
19	0.4134261253
20	0.4112380865
21	0.4087099333
22	0.4064489785
23	0.4048891196
24	0.4038930277
25	0.4018724085
26	0.4001566147
27	0.3988059133
28	0.3974154175
29	0.3970119867
30	0.396306731
31	0.3961732294
32	0.394993801
33	0.3947584888
34	0.3943509137
35	0.3936575741
36	0.3928040293
37	0.3920986178
38	0.3917423427
39	0.3908211951
40	0.3903855928
41	0.3897308553
42	0.3896200448
43	0.3895286265
44	0.3892460523
45	0.3889564409
46	0.3889497962
47	0.3889232995
48	0.3885721937
49	0.3880357502
50	0.3879108267
51	0.3875547238
52	0.3873490168
53	0.3864213952
54	0.3863301391
55	0.3861886949
56	0.3861073529
57	0.3857585204
58	0.3851589639
59	0.3851327442
60	0.3851327441
61	0.3847359692
62	0.3845721902
63	0.3845021107
64	0.3844713811
65	0.3842090212
66	0.3841898115
67	0.3841165123
68	0.3840880846
69	0.3836006054
70	0.3832161239
71	0.3831010695
72	0.3830233933
73	0.3828539022
74	0.3827296337
75	0.382624797
76	0.3821836434
77	0.3819559076
78	0.3818224131
79	0.3817217812
80	0.3816452271
81	0.3812218479
82	0.380953979
83	0.3809229185
84	0.3808678176
85	0.3808163962
86	0.3806446795
87	0.3806358818
88	0.380615815
89	0.3805778647
90	0.3805598149
91	0.380547151
92	0.3803793836
93	0.3801886995
94	0.3797056448
95	0.3795286836
96	0.3794998318
97	0.3794702616
98	0.379458386
99	0.3794373967
