iter	Passed	Remaining
0	182	18111
1	282	13820
2	331	10712
3	377	9066
4	428	8139
5	472	7407
6	521	6933
7	568	6537
8	615	6223
9	663	5968
10	713	5768
11	763	5596
12	781	5230
13	830	5104
14	881	4997
15	935	4909
16	988	4827
17	1005	4580
18	1055	4499
19	1114	4459
20	1252	4710
21	1305	4629
22	1326	4441
23	1360	4307
24	1418	4255
25	1474	4197
26	1525	4125
27	1560	4011
28	1619	3964
29	1677	3915
30	1733	3857
31	1786	3797
32	1850	3757
33	1913	3714
34	1967	3653
35	2017	3586
36	2074	3532
37	2132	3478
38	2149	3361
39	2230	3345
40	2277	3277
41	2304	3181
42	2350	3116
43	2399	3053
44	2445	2988
45	2499	2934
46	2554	2880
47	2606	2823
48	2661	2769
49	2713	2713
50	2751	2644
51	2801	2586
52	2850	2527
53	2897	2468
54	2946	2411
55	3004	2360
56	3053	2303
57	3100	2245
58	3157	2193
59	3210	2140
60	3262	2085
61	3310	2029
62	3362	1974
63	3419	1923
64	3476	1871
65	3545	1826
66	3593	1769
67	3642	1714
68	3697	1661
69	3753	1608
70	3806	1554
71	3887	1511
72	3947	1460
73	4021	1412
74	4066	1355
75	4122	1301
76	4183	1249
77	4237	1195
78	4286	1139
79	4356	1089
80	4426	1038
81	4468	980
82	4534	928
83	4592	874
84	4646	819
85	4694	764
86	4741	708
87	4794	653
88	4852	599
89	4904	544
90	4968	491
91	5022	436
92	5080	382
93	5133	327
94	5210	274
95	5265	219
96	5355	165
97	5418	110
98	5470	55
99	5517	0
